Cabang,Kategori Barang,Kode Barang,Nama Barang,Jenis Barang,Def. Hrg. Jual Satuan #1,Kts (Semua Gdng),Nilai Satuan,Nilai Total,KATEGORI PEMBAYARAN;
Klender,SPAREPART,106443,IC... CPU SM8450 103 AC,Persediaan,0.0,0,0.0,0.0,CASH;
Klender,HANDPHONE,102074,NYK KEYBOARD MOUSE WIRELESS K40,Persediaan,200000.0,0,0.0,0.0,;
Klender,SPAREPART,108799,KYBRD LPT DELL VOSTRO 14 3000 3400,Persediaan,0.0,0,0.0,0.0,;
Klender,SPAREPART,106569,SPKR. ATAS XIO REDMI NOTE 4,Persediaan,16000.0,3,8000.0,24000.0,;
Klender,AKSESORIS,106453,SOFTCASE SAMSUNG S24,Persediaan,0.0,0,0.0,0.0,CASH;
Klender,SPAREPART,102358,FLONF SAM A10s A107 a107F,Persediaan,20550.0,0,0.0,1e-06,;
Klender,SPAREPART,104337,FLCRG SAM M31,Persediaan,106500.0,0,0.0,0.0,;
Klender,SPAREPART,106462,BATER SAMSUNG S23 PLUS,Persediaan,0.0,0,0.0,0.0,CASH;
Klender,SPAREPART,106463,SMTRY HUAWAI NOVA 5T,Persediaan,20000.0,0,0.0,0.0,CASH;
Klender,SPAREPART,106467,KYBRD LPT LENOVO THINKPAD X230,Persediaan,300000.0,0,0.0,0.0,CASH;
Klender,SPAREPART,106469,FLFNG XIO REDMI NOTE 11/ NOTE 11S /POCO M4 PRO,Persediaan,0.0,0,0.0,0.0,CASH;
Klender,SPAREPART,106595,MESIN VIVO V7 NORMAL,Persediaan,200000.0,0,0.0,0.0,CASH;
Klender,SPAREPART,LCD-0003,LCD.. ASS ZENFONE 3 LASER B,Persediaan,229500.0,3,170000.0,510000.0,CASH;
Klender,HANDPHONE,105848,NOKIA 105 (NEW),Persediaan,0.0,1,250000.0,250000.0,CASH;
Klender,SPAREPART,108356,ICCAS LN8000,Persediaan,0.0,0,0.0,0.0,CASH;
Klender,SPAREPART,108790,KNBTR SAM A33 5G/ A53 5G,Persediaan,0.0,4,35000.0,140000.0,;
"Klender,SPAREPART,106658,""JACK, DC POWER CONECTOR MACBOOK A1534"",Persediaan,423391.8,0,0.0,0.0,CASH";
Klender,SPAREPART,108357,SERVICE PRINTER 600K,Persediaan,600000.0,0,0.0,0.0,CASH;
Klender,SPAREPART,100633,KNCRG SAM S21 PLUS ULTRA,Persediaan,66000.0,1,40000.0,40000.0,;
Klender,SPAREPART,108795,KYBRD LPT LENOVO THINKPAD X280 / X13 BACKLIGHT,Persediaan,0.0,0,0.0,0.0,;
Klender,AKSESORIS,106482,SOFTCASE IPHONE 15,Persediaan,50000.0,0,0.0,0.0,CASH;
Klender,LAPTOP,106977,LAPTOP HP 830 G8 i5 GEN 11 16/256,Persediaan,6550000.0,0,0.0,0.0,TEMPO;
Klender,SPAREPART,105063,LCD.. SAM M22 B,Persediaan,0.0,0,0.0,0.0,CASH;
Klender,SPAREPART,104354,KYBRD LPT LENOVO IDEAPAD FLEX 5 14,Persediaan,243074.25,0,0.0,2e-06,CASH;
Klender,SPAREPART,104678,FLCRG XIO REDMI 10 5G / POCO M5,Persediaan,40000.0,0,0.0,0.0,CASH;
Klender,SPAREPART,108197,BATER XIO MI 12T PRO / POCO X5 5G BN5J,Persediaan,175000.0,0,0.0,0.0,CASH;
Klender,AKSESORIS,108003,ADPTR MACBOOK MAGSAFE 1 60W,Persediaan,350000.0,0,0.0,0.0,CASH;
Klender,SPAREPART,106481,BCKDR INF NOTE 40 PRO 5G,Persediaan,65000.0,0,0.0,0.0,CASH;
Klender,SPAREPART,103491,BATER LPT LENOVO 320-14ISK,Persediaan,0.0,0,0.0,0.0,CASH;
Klender,SPAREPART,106495,COVER B LPT DELL 3510 E3510,Persediaan,0.0,0,0.0,0.0,CASH;
Klender,SPAREPART,106496,SPKR. LPT LENOVO IDEAPAD SLIM 3,Persediaan,0.0,0,0.0,0.0,CASH;
Klender,SPAREPART,107627,MESIN MOTEHRBOARD DELL INSPIRON 3467 3567 CORE i3,Persediaan,0.0,0,0.0,0.0,CASH;
Klender,SPAREPART,108470,BUZER SAM A10S,Persediaan,35000.0,2,20000.0,40000.0,CASH;
Klender,SPAREPART,108358,SERVICE PRINTER 700K,Persediaan,700000.0,0,0.0,0.0,CASH;
Klender,SPAREPART,105044,BATER SAM A03 CORE (SLC-50),Persediaan,150000.0,1,132625.0,132625.0,CASH;
